"L0","x","y","H0"
2,0,0,1.24057388305664
1,0,0,0.92453670501709
1,1,0,0.674093246459961
1,0,1,0.908495903015137
1,1,1,0.783107757568359
0.5,0,0,0.74344539642334
0.5,0.5,0,0.283674716949463
0.5,1,0,0.314407825469971
0.5,1.5,0,0.540067195892334
0.5,0,0.5,0.441152095794678
0.5,0.5,0.5,0.516829013824463
0.5,1,0.5,0.320291042327881
0.5,1.5,0.5,0.630984783172607
0.5,0,1,0.322524547576904
0.5,0.5,1,0.382492542266846
0.5,1,1,0.369506359100342
0.5,1.5,1,0.566362857818604
0.5,0,1.5,0.855692386627197
0.5,0.5,1.5,0.563877105712891
0.5,1,1.5,0.293976306915283
0.5,1.5,1.5,0.58801794052124
0.25,0,0,0.639564514160156
0.25,0.25,0,0.62212085723877
0.25,0.5,0,0.15108585357666
0.25,0.75,0,0.283674716949463
0.25,1,0,0.260369300842285
0.25,1.25,0,0.30372428894043
0.25,1.5,0,0.29279899597168
0.25,1.75,0,0.161842823028564
0.25,0,0.25,0.172101974487305
0.25,0.25,0.25,0.387332916259766
0.25,0.5,0.25,0.221671104431152
0.25,0.75,0.25,0.157078742980957
0.25,1,0.25,0.264020442962646
0.25,1.25,0.25,0.0932474136352539
0.25,1.5,0.25,0.291782855987549
0.25,1.75,0.25,0.44036865234375
0.25,0,0.5,0.340010643005371
0.25,0.25,0.5,0.211545467376709
0.25,0.5,0.5,0.231307983398438
0.25,0.75,0.5,0.138378143310547
0.25,1,0.5,0.214134216308594
0.25,1.25,0.5,0.128861427307129
0.25,1.5,0.5,0.316184520721436
0.25,1.75,0.5,0.538622856140137
0.25,0,0.75,0.288321971893311
0.25,0.25,0.75,0.239460468292236
0.25,0.5,0.75,0.43043327331543
0.25,0.75,0.75,0.320979118347168
0.25,1,0.75,0.230759620666504
0.25,1.25,0.75,0.29755163192749
0.25,1.5,0.75,0.0892219543457031
0.25,1.75,0.75,0.415283679962158
0.25,0,1,0.269507884979248
0.25,0.25,1,0.280761241912842
0.25,0.5,1,0.285613536834717
0.25,0.75,1,0.204348564147949
0.25,1,1,0.299806118011475
0.25,1.25,1,0.293246269226074
0.25,1.5,1,0.184550285339355
0.25,1.75,1,0.268177032470703
0.25,0,1.25,0.288486480712891
0.25,0.25,1.25,0.270564556121826
0.25,0.5,1.25,0.349397659301758
0.25,0.75,1.25,0.278285503387451
0.25,1,1.25,0.34587287902832
0.25,1.25,1.25,0.163649082183838
0.25,1.5,1.25,0.134214401245117
0.25,1.75,1.25,0.541007518768311
0.25,0,1.5,0.521461009979248
0.25,0.25,1.5,0.357777118682861
0.25,0.5,1.5,0.293638229370117
0.25,0.75,1.5,0.440248489379883
0.25,1,1.5,0.271089553833008
0.25,1.25,1.5,0.181840419769287
0.25,1.5,1.5,0.122014045715332
0.25,1.75,1.5,0.482151985168457
0.25,0,1.75,0.467910766601562
0.25,0.25,1.75,0.324534893035889
0.25,0.5,1.75,0.403609752655029
0.25,0.75,1.75,0.495121002197266
0.25,1,1.75,0.126151561737061
0.25,1.25,1.75,0.0846672058105469
0.25,1.5,1.75,0.124722003936768
0.25,1.75,1.75,0.106936931610107
0.125,0,0,0.638551235198975
0.125,0.125,0,0.560797691345215
0.125,0.25,0,0.412476539611816
0.125,0.375,0,0.62212085723877
0.125,0.5,0,0.137770652770996
0.125,0.625,0,0.118554592132568
0.125,0.75,0,0.115233898162842
0.125,0.875,0,0.125722885131836
0.125,1,0,0.171737670898438
0.125,1.125,0,0.0684428215026855
0.125,1.25,0,0.30372428894043
0.125,1.375,0,0.0982518196105957
0.125,1.5,0,0.244528293609619
0.125,1.625,0,0.225419521331787
0.125,1.75,0,0.13661003112793
0.125,1.875,0,0.139645576477051
0.125,0,0.125,0.143847465515137
0.125,0.125,0.125,0.088994026184082
0.125,0.25,0.125,0.289826393127441
0.125,0.375,0.125,0.450134754180908
0.125,0.5,0.125,0.0967555046081543
0.125,0.625,0.125,0.108881950378418
0.125,0.75,0.125,0.11426305770874
0.125,0.875,0.125,0.193126678466797
0.125,1,0.125,0.227819919586182
0.125,1.125,0.125,0.0848193168640137
0.125,1.25,0.125,0.0574898719787598
0.125,1.375,0.125,0.064570426940918
0.125,1.5,0.125,0.100263118743896
0.125,1.625,0.125,0.160821437835693
0.125,1.75,0.125,0.0875954627990723
0.125,1.875,0.125,0.136521816253662
0.125,0,0.25,0.107171535491943
0.125,0.125,0.25,0.141188621520996
0.125,0.25,0.25,0.0642452239990234
0.125,0.375,0.25,0.147806167602539
0.125,0.5,0.25,0.146975517272949
0.125,0.625,0.25,0.173004627227783
0.125,0.75,0.25,0.157078742980957
0.125,0.875,0.25,0.0462822914123535
0.125,1,0.25,0.14057731628418
0.125,1.125,0.25,0.0752925872802734
0.125,1.25,0.25,0.0824918746948242
0.125,1.375,0.25,0.0850653648376465
0.125,1.5,0.25,0.132560253143311
0.125,1.625,0.25,0.163861751556396
0.125,1.75,0.25,0.358450412750244
0.125,1.875,0.25,0.218094348907471
0.125,0,0.375,0.0900568962097168
0.125,0.125,0.375,0.172101974487305
0.125,0.25,0.375,0.222139835357666
0.125,0.375,0.375,0.387332916259766
0.125,0.5,0.375,0.067194938659668
0.125,0.625,0.375,0.152154445648193
0.125,0.75,0.375,0.11925220489502
0.125,0.875,0.375,0.0375614166259766
0.125,1,0.375,0.260386943817139
0.125,1.125,0.375,0.111942291259766
0.125,1.25,0.375,0.0794796943664551
0.125,1.375,0.375,0.0277910232543945
0.125,1.5,0.375,0.121610641479492
0.125,1.625,0.375,0.258270740509033
0.125,1.75,0.375,0.405846118927002
