"L0","x","y","H0"
2,0,0,2.22957134246826
1,0,0,1.82147741317749
1,1,0,0.97467041015625
1,0,1,1.76015329360962
1,1,1,1.00156879425049
0.5,0,0,1.45963430404663
0.5,0.5,0,0.888765335083008
0.5,1,0,0.666709899902344
0.5,1.5,0,0.310871601104736
0.5,0,0.5,1.08959150314331
0.5,0.5,0.5,1.3540153503418
0.5,1,0.5,0.684713840484619
0.5,1.5,0.5,0.592097282409668
0.5,0,1,0.162932872772217
0.5,0.5,1,1.68731355667114
0.5,1,1,0.537202835083008
0.5,1.5,1,0.530300617218018
0.5,0,1.5,0.604718685150146
0.5,0.5,1.5,1.61580038070679
0.5,1,1.5,0.75562047958374
0.5,1.5,1.5,0.611961841583252
0.25,0,0,0.207094192504883
0.25,0.25,0,1.20929145812988
0.25,0.5,0,0.594032287597656
0.25,0.75,0,0.0931496620178223
0.25,1,0,0.224689960479736
0.25,1.25,0,0.153532981872559
0.25,1.5,0,0.190266609191895
0.25,1.75,0,0.120821475982666
0.25,0,0.25,0.355376243591309
0.25,0.25,0.25,1.39990711212158
0.25,0.5,0.25,0.805416584014893
0.25,0.75,0.25,0.486702442169189
0.25,1,0.25,0.550241947174072
0.25,1.25,0.25,0.230091094970703
0.25,1.5,0.25,0.276880264282227
0.25,1.75,0.25,0.150486946105957
0.25,0,0.5,0.290473937988281
0.25,0.25,0.5,0.966653823852539
0.25,0.5,0.5,1.11424493789673
0.25,0.75,0.5,0.231035709381104
0.25,1,0.5,0.496527671813965
0.25,1.25,0.5,0.5238356590271
0.25,1.5,0.5,0.480409145355225
0.25,1.75,0.5,0.103655815124512
0.25,0,0.75,0.216555595397949
0.25,0.25,0.75,0.176614761352539
0.25,0.5,0.75,1.33042192459106
0.25,0.75,0.75,0.258854866027832
0.25,1,0.75,0.209476470947266
0.25,1.25,0.75,0.341802597045898
0.25,1.5,0.75,0.503861904144287
0.25,1.75,0.75,0.387167453765869
0.25,0,1,0.116172313690186
0.25,0.25,1,0.135400295257568
0.25,0.5,1,1.41914081573486
0.25,0.75,1,0.271321296691895
0.25,1,1,0.522053241729736
0.25,1.25,1,0.171565532684326
0.25,1.5,1,0.308706760406494
0.25,1.75,1,0.307454109191895
0.25,0,1.25,0.0470147132873535
0.25,0.25,1.25,0.0622339248657227
0.25,0.5,1.25,1.41948986053467
0.25,0.75,1.25,0.377342224121094
0.25,1,1.25,0.253793716430664
0.25,1.25,1.25,0.311972618103027
0.25,1.5,1.25,0.134092807769775
0.25,1.75,1.25,0.427093029022217
0.25,0,1.5,0.110397815704346
0.25,0.25,1.5,0.0930385589599609
0.25,0.5,1.5,1.35179281234741
0.25,0.75,1.5,0.648796081542969
0.25,1,1.5,0.594405174255371
0.25,1.25,1.5,0.270730018615723
0.25,1.5,1.5,0.239599704742432
0.25,1.75,1.5,0.435355186462402
0.25,0,1.75,0.0787315368652344
0.25,0.25,1.75,0.577596187591553
0.25,0.5,1.75,0.951624870300293
0.25,0.75,1.75,0.373270034790039
0.25,1,1.75,0.689872264862061
0.25,1.25,1.75,0.386943817138672
0.25,1.5,1.75,0.430945873260498
0.25,1.75,1.75,0.312840938568115
0.125,0,0,0.183544158935547
0.125,0.125,0,0.133701324462891
0.125,0.25,0,0.11847448348999
0.125,0.375,0,1.03593873977661
0.125,0.5,0,0.538593769073486
0.125,0.625,0,0.0801506042480469
0.125,0.75,0,0.0383672714233398
0.125,0.875,0,0.084449291229248
0.125,1,0,0.189063549041748
0.125,1.125,0,0.128681182861328
0.125,1.25,0,0.0721464157104492
0.125,1.375,0,0.102167129516602
0.125,1.5,0,0.0868511199951172
0.125,1.625,0,0.13248872756958
0.125,1.75,0,0.114481449127197
0.125,1.875,0,0.0702662467956543
0.125,0,0.125,0.118484497070312
0.125,0.125,0.125,0.0683512687683105
0.125,0.25,0.125,0.110194206237793
0.125,0.375,0.125,1.2025899887085
0.125,0.5,0.125,0.107887744903564
0.125,0.625,0.125,0.112120628356934
0.125,0.75,0.125,0.0931496620178223
0.125,0.875,0.125,0.0770349502563477
0.125,1,0.125,0.1542067527771
0.125,1.125,0.125,0.0743207931518555
0.125,1.25,0.125,0.077521800994873
0.125,1.375,0.125,0.110200881958008
0.125,1.5,0.125,0.116441249847412
0.125,1.625,0.125,0.170310974121094
0.125,1.75,0.125,0.0833950042724609
0.125,1.875,0.125,0.0338134765625
0.125,0,0.25,0.152613639831543
0.125,0.125,0.25,0.141518592834473
0.125,0.25,0.25,0.211915969848633
0.125,0.375,0.25,1.34082746505737
0.125,0.5,0.25,0.72612476348877
0.125,0.625,0.25,0.134508609771729
0.125,0.75,0.25,0.128178596496582
0.125,0.875,0.25,0.314301013946533
0.125,1,0.25,0.340048313140869
0.125,1.125,0.25,0.0763974189758301
0.125,1.25,0.25,0.0552787780761719
0.125,1.375,0.25,0.12464427947998
0.125,1.5,0.25,0.237320423126221
0.125,1.625,0.25,0.195592880249023
0.125,1.75,0.25,0.129482269287109
0.125,1.875,0.25,0.0791335105895996
0.125,0,0.375,0.21546459197998
0.125,0.125,0.375,0.086881160736084
0.125,0.25,0.375,0.0760412216186523
0.125,0.375,0.375,0.917110919952393
0.125,0.5,0.375,0.668166160583496
0.125,0.625,0.375,0.390328884124756
0.125,0.75,0.375,0.340292930603027
0.125,0.875,0.375,0.278160572052002
0.125,1,0.375,0.460371971130371
0.125,1.125,0.375,0.196094036102295
0.125,1.25,0.375,0.119082927703857
0.125,1.375,0.375,0.127211093902588
0.125,1.5,0.375,0.266891002655029
0.125,1.625,0.375,0.15526008605957
0.125,1.75,0.375,0.0961689949035645
0.125,1.875,0.375,0.0861349105834961
0.125,0,0.5,0.210634231567383
0.125,0.125,0.5,0.101864814758301
0.125,0.25,0.5,0.0958914756774902
0.125,0.375,0.5,0.920840263366699
0.125,0.5,0.5,1.04684257507324
0.125,0.625,0.5,0.0936417579650879
0.125,0.75,0.5,0.210722923278809
0.125,0.875,0.5,0.166131019592285
0.125,1,0.5,0.377716064453125
0.125,1.125,0.5,0.311279296875
0.125,1.25,0.5,0.334815502166748
0.125,1.375,0.5,0.174266815185547
0.125,1.5,0.5,0.258874893188477
0.125,1.625,0.5,0.185977458953857
0.125,1.75,0.5,0.0916738510131836
0.125,1.875,0.5,0.0248227119445801
0.125,0,0.625,0.202795028686523
0.125,0.125,0.625,0.0822048187255859
0.125,0.25,0.625,0.089139461517334
0.125,0.375,0.625,0.057426929473877
0.125,0.5,0.625,1.07686805725098
0.125,0.625,0.625,0.108376502990723
0.125,0.75,0.625,0.121878623962402
0.125,0.875,0.625,0.090273380279541
0.125,1,0.625,0.153110027313232
0.125,1.125,0.625,0.198804378509521
0.125,1.25,0.625,0.334139823913574
0.125,1.375,0.625,0.314303874969482
0.125,1.5,0.625,0.34859037399292
0.125,1.625,0.625,0.40542459487915
0.125,1.75,0.625,0.0841736793518066
0.125,1.875,0.625,0.0906744003295898
0.125,0,0.75,0.162639617919922
0.125,0.125,0.75,0.19708776473999
0.125,0.25,0.75,0.143549919128418
0.125,0.375,0.75,0.103199005126953
0.125,0.5,0.75,1.11452102661133
0.125,0.625,0.75,0.0554347038269043
0.125,0.75,0.75,0.101931095123291
0.125,0.875,0.75,0.032869815826416
0.125,1,0.75,0.0599985122680664
0.125,1.125,0.75,0.104493618011475
0.125,1.25,0.75,0.0748691558837891
0.125,1.375,0.75,0.282370567321777
0.125,1.5,0.75,0.158071994781494
0.125,1.625,0.75,0.362698078155518
0.125,1.75,0.75,0.234489440917969
0.125,1.875,0.75,0.225979328155518
0.125,0,0.875,0.0616827011108398
0.125,0.125,0.875,0.0917258262634277
0.125,0.25,0.875,0.0658321380615234
0.125,0.375,0.875,0.109400749206543
0.125,0.5,0.875,1.11610412597656
0.125,0.625,0.875,0.286401271820068
0.125,0.75,0.875,0.233238697052002
0.125,0.875,0.875,0.197562217712402
0.125,1,0.875,0.0855007171630859
0.125,1.125,0.875,0.155570983886719
0.125,1.25,0.875,0.102543354034424
0.125,1.375,0.875,0.303916931152344
0.125,1.5,0.875,0.215052604675293
0.125,1.625,0.875,0.205181121826172
0.125,1.75,0.875,0.18245267868042
0.125,1.875,0.875,0.136623382568359
0.125,0,1,0.0783133506774902
0.125,0.125,1,0.0703449249267578
0.125,0.25,1,0.0233697891235352
0.125,0.375,1,0.11504077911377
0.125,0.5,1,1.13023996353149
0.125,0.625,1,0.261223316192627
0.125,0.75,1,0.0674357414245605
0.125,0.875,1,0.188861846923828
0.125,1,1,0.0813565254211426
0.125,1.125,1,0.173744201660156
0.125,1.25,1,0.131394386291504
0.125,1.375,1,0.13099193572998
0.125,1.5,1,0.20475959777832
0.125,1.625,1,0.162109375
0.125,1.75,1,0.105062961578369
0.125,1.875,1,0.117557525634766
0.125,0,1.125,0.0580248832702637
0.125,0.125,1.125,0.0356330871582031
0.125,0.25,1.125,0.0197420120239258
0.125,0.375,1.125,0.0922040939331055
0.125,0.5,1.125,1.2563157081604
0.125,0.625,1.125,0.230802536010742
0.125,0.75,1.125,0.101528644561768
0.125,0.875,1.125,0.236282825469971
0.125,1,1.125,0.511842250823975
0.125,1.125,1.125,0.412027835845947
0.125,1.25,1.125,0.0919504165649414
0.125,1.375,1.125,0.0892958641052246
0.125,1.5,1.125,0.135804176330566
0.125,1.625,1.125,0.0784316062927246
0.125,1.75,1.125,0.0649561882019043
0.125,1.875,1.125,0.247547626495361
0.125,0,1.25,0.0143423080444336
0.125,0.125,1.25,0.027137279510498
0.125,0.25,1.25,0.0305943489074707
0.125,0.375,1.25,0.059056282043457
0.125,0.5,1.25,1.25477361679077
0.125,0.625,1.25,0.355589389801025
0.125,0.75,1.25,0.0970587730407715
0.125,0.875,1.25,0.299286842346191
0.125,1,1.25,0.123706340789795
0.125,1.125,1.25,0.253793716430664
0.125,1.25,1.25,0.296011447906494
0.125,1.375,1.25,0.0448470115661621
0.125,1.5,1.25,0.0514979362487793
0.125,1.625,1.25,0.0795540809631348
0.125,1.75,1.25,0.344829559326172
0.125,1.875,1.25,0.117714881896973
0.125,0,1.375,0.0230498313903809
0.125,0.125,1.375,0.0268998146057129
0.125,0.25,1.375,0.0485782623291016
0.125,0.375,1.375,0.0237107276916504
0.125,0.5,1.375,1.07065200805664
0.125,0.625,1.375,0.308150768280029
0.125,0.75,1.375,0.0794477462768555
0.125,0.875,1.375,0.258969306945801
0.125,1,1.375,0.170942306518555
0.125,1.125,1.375,0.106462955474854
0.125,1.25,1.375,0.295389175415039
0.125,1.375,1.375,0.249751567840576
0.125,1.5,1.375,0.116447925567627
