"rec","rep","D","D_ends","D_theory","R","R_theory","H","site"
"rr201611_007_CooksPath_dem_low",6,2.33384962841649,2.33950683734214,2.33950683734214,1.48721330635403,1.13514608334397,0.468437671661377,"Cooks Path"
"rr201611_007_CooksPath_dem_low",7,2.38486680132867,2.36802645508904,2.36802645508904,1.36221589314958,1.10519445061198,0.371751308441162,"Cooks Path"
"rr201611_007_CooksPath_dem_low",8,2.3154234587123,2.29857460722615,2.29857460722615,1.3208124191116,1.0953025949856,0.449077367782593,"Cooks Path"
"rr201611_007_CooksPath_dem_low",9,2.27532806696816,2.27917562811696,2.27917562811696,1.339234424081,1.07447927295294,0.422489643096924,"Cooks Path"
"rr201611_007_CooksPath_dem_low",10,2.29742507914335,2.29227676062586,2.29227676062586,1.54617355481821,1.15861663205075,0.601016998291016,"Cooks Path"
"rr201611_007_CooksPath_dem_low",11,2.37580505851527,2.36416315099919,2.36416315099919,1.49152859512589,1.14774238563248,0.450991630554199,"Cooks Path"
"rr201611_007_CooksPath_dem_low",12,2.39835311217694,2.37209143989569,2.37209143989569,1.44541116452407,1.11873246372816,0.390673875808716,"Cooks Path"
"rr201611_007_CooksPath_dem_low",13,2.24871099728549,2.23516695335292,2.23516695335292,1.52616359954202,1.10797173163043,0.597270250320435,"Cooks Path"
"rr201611_007_CooksPath_dem_low",14,2.37430664237871,2.37936832790664,2.37936832790664,1.51606131542785,1.14068310810189,0.416807889938354,"Cooks Path"
"rr201611_007_CooksPath_dem_low",15,2.35836940527351,2.35060320412132,2.35060320412132,1.56853075534485,1.16562362017801,0.502559185028076,"Cooks Path"
"rr201611_007_CooksPath_dem_low",16,2.34771432184538,2.31989862817856,2.31989862817856,1.43873586365804,1.12076744592298,0.472357749938965,"Cooks Path"
"rr201611_018_Resort_dem_low",1,2.25422630097314,2.24524471992433,2.24524471992433,3.22640958908954,1.62594685991487,1.54998183250427,"Resort"
"rr201611_018_Resort_dem_low",2,2.31334680217685,2.29182399641762,2.29182399641762,3.64104060360921,1.75182459320102,1.47970366477966,"Resort"
"rr201611_018_Resort_dem_low",3,2.18241524616157,2.19588939738385,2.19588939738385,2.5434277740506,1.38948443040969,1.38388252258301,"Resort"
"rr201611_018_Resort_dem_low",4,2.25992884016531,2.26316652945715,2.26316652945715,2.47740157010026,1.41482283025075,1.13713979721069,"Resort"
"rr201611_018_Resort_dem_low",5,2.27829775583535,2.27481998673252,2.27481998673252,3.93525718662234,1.95090490003865,1.82787227630615,"Resort"
"rr201611_018_Resort_dem_low",6,2.16853559258513,2.16222338530455,2.16222338530455,2.47286639115043,1.36778308875449,1.50432372093201,"Resort"
"rr201611_018_Resort_dem_low",7,2.23478844229896,2.22919217364016,2.22919217364016,2.73285753014684,1.55767274751481,1.52647113800049,"Resort"
