"L0","x","y","H0"
2,0,0,0.945243120193481
1,0,0,0.789511919021606
1,1,0,0.677740573883057
1,0,1,0.51909613609314
1,1,1,0.598578214645386
0.5,0,0,0.229327917098999
0.5,0.5,0,0.562701225280762
0.5,1,0,0.647714376449585
0.5,1.5,0,0.535678625106812
0.5,0,0.5,0.208606481552124
0.5,0.5,0.5,0.715914964675903
0.5,1,0.5,0.677740573883057
0.5,1.5,0.5,0.568183422088623
0.5,0,1,0.16373348236084
0.5,0.5,1,0.378772735595703
0.5,1,1,0.598578214645386
0.5,1.5,1,0.134945631027222
0.5,0,1.5,0.148421764373779
0.5,0.5,1.5,0.472150564193726
0.5,1,1.5,0.345955848693848
0.5,1.5,1.5,0.266920328140259
0.25,0,0,0.194436073303223
0.25,0.25,0,0.150697708129883
0.25,0.5,0,0.519633531570435
0.25,0.75,0,0.550255060195923
0.25,1,0,0.610803842544556
0.25,1.25,0,0.615860223770142
0.25,1.5,0,0.535678625106812
0.25,1.75,0,0.104097604751587
0.25,0,0.25,0.197396278381348
0.25,0.25,0.25,0.162693023681641
0.25,0.5,0.25,0.0992195606231689
0.25,0.75,0.25,0.104692935943604
0.25,1,0.25,0.0684921741485596
0.25,1.25,0.25,0.0984129905700684
0.25,1.5,0.25,0.0904545783996582
0.25,1.75,0.25,0.0802037715911865
0.25,0,0.5,0.145079135894775
0.25,0.25,0.5,0.116839647293091
0.25,0.5,0.5,0.163466691970825
0.25,0.75,0.5,0.270211458206177
0.25,1,0.5,0.670202732086182
0.25,1.25,0.5,0.609307289123535
0.25,1.5,0.5,0.492983341217041
0.25,1.75,0.5,0.15991473197937
0.25,0,0.75,0.208597183227539
0.25,0.25,0.75,0.13054633140564
0.25,0.5,0.75,0.291115522384644
0.25,0.75,0.75,0.68061089515686
0.25,1,0.75,0.457695007324219
0.25,1.25,0.75,0.574925661087036
0.25,1.5,0.75,0.568183422088623
0.25,1.75,0.75,0.208316087722778
0.25,0,1,0.157631635665894
0.25,0.25,1,0.110247611999512
0.25,0.5,1,0.145514488220215
0.25,0.75,1,0.325915336608887
0.25,1,1,0.591129541397095
0.25,1.25,1,0.461713314056396
0.25,1.5,1,0.0986869335174561
0.25,1.75,1,0.0920803546905518
0.25,0,1.25,0.0737595558166504
0.25,0.25,1.25,0.0504002571105957
0.25,0.5,1.25,0.1181800365448
0.25,0.75,1.25,0.127225875854492
0.25,1,1.25,0.146794080734253
0.25,1.25,1.25,0.149085283279419
0.25,1.5,1.25,0.0774939060211182
0.25,1.75,1.25,0.098762035369873
0.25,0,1.5,0.0820302963256836
0.25,0.25,1.5,0.0829071998596191
0.25,0.5,1.5,0.0989258289337158
0.25,0.75,1.5,0.155880689620972
0.25,1,1.5,0.138586759567261
0.25,1.25,1.5,0.23574686050415
0.25,1.5,1.5,0.195652961730957
0.25,1.75,1.5,0.201498031616211
0.25,0,1.75,0.0850610733032227
0.25,0.25,1.75,0.11621618270874
0.25,0.5,1.75,0.102931022644043
0.25,0.75,1.75,0.471823930740356
0.25,1,1.75,0.345955848693848
0.25,1.25,1.75,0.208017110824585
0.25,1.5,1.75,0.209501981735229
0.25,1.75,1.75,0.219538450241089
0.125,0,0,0.0732197761535645
0.125,0.125,0,0.037151575088501
0.125,0.25,0,0.0463829040527344
0.125,0.375,0,0.0414869785308838
0.125,0.5,0,0.507410764694214
0.125,0.625,0,0.516352415084839
0.125,0.75,0,0.47962474822998
0.125,0.875,0,0.513631820678711
0.125,1,0,0.541174173355103
0.125,1.125,0,0.579860210418701
0.125,1.25,0,0.60713005065918
0.125,1.375,0,0.18881893157959
0.125,1.5,0,0.517172336578369
0.125,1.625,0,0.272210359573364
0.125,1.75,0,0.0773148536682129
0.125,1.875,0,0.0684041976928711
0.125,0,0.125,0.140773296356201
0.125,0.125,0.125,0.135763645172119
0.125,0.25,0.125,0.079195499420166
0.125,0.375,0.125,0.130919456481934
0.125,0.5,0.125,0.0740947723388672
0.125,0.625,0.125,0.0608565807342529
0.125,0.75,0.125,0.0571632385253906
0.125,0.875,0.125,0.0671744346618652
0.125,1,0.125,0.0476334095001221
0.125,1.125,0.125,0.0378539562225342
0.125,1.25,0.125,0.365550518035889
0.125,1.375,0.125,0.488085508346558
0.125,1.5,0.125,0.501063108444214
0.125,1.625,0.125,0.0548181533813477
0.125,1.75,0.125,0.0558164119720459
0.125,1.875,0.125,0.0420222282409668
0.125,0,0.25,0.145084381103516
0.125,0.125,0.25,0.134464979171753
0.125,0.25,0.25,0.0769565105438232
0.125,0.375,0.25,0.150493621826172
0.125,0.5,0.25,0.0605275630950928
0.125,0.625,0.25,0.0657541751861572
0.125,0.75,0.25,0.0444571971893311
0.125,0.875,0.25,0.074913501739502
0.125,1,0.25,0.0550382137298584
0.125,1.125,0.25,0.0586955547332764
0.125,1.25,0.25,0.0904583930969238
0.125,1.375,0.25,0.0620465278625488
0.125,1.5,0.25,0.0417642593383789
