"L0","x","y","H0"
2,0,0,0.552027463912964
1,0,0,0.38619589805603
1,1,0,0.303802967071533
1,0,1,0.29307222366333
1,1,1,0.279102563858032
0.5,0,0,0.251288414001465
0.5,0.5,0,0.251826286315918
0.5,1,0,0.170599937438965
0.5,1.5,0,0.270129203796387
0.5,0,0.5,0.180526494979858
0.5,0.5,0.5,0.201133728027344
0.5,1,0.5,0.167028427124023
0.5,1.5,0.5,0.262177705764771
0.5,0,1,0.244749307632446
0.5,0.5,1,0.230105638504028
0.5,1,1,0.190228939056396
0.5,1.5,1,0.174102544784546
0.5,0,1.5,0.215754508972168
0.5,0.5,1.5,0.166604280471802
0.5,1,1.5,0.169816732406616
0.5,1.5,1.5,0.162134647369385
0.25,0,0,0.139081001281738
0.25,0.25,0,0.173696517944336
0.25,0.5,0,0.1681067943573
0.25,0.75,0,0.15038275718689
0.25,1,0,0.170345306396484
0.25,1.25,0,0.0657281875610352
0.25,1.5,0,0.0804083347320557
0.25,1.75,0,0.150783777236938
0.25,0,0.25,0.217856407165527
0.25,0.25,0.25,0.116575717926025
0.25,0.5,0.25,0.0885958671569824
0.25,0.75,0.25,0.0887050628662109
0.25,1,0.25,0.116581201553345
0.25,1.25,0.25,0.142571687698364
0.25,1.5,0.25,0.184732675552368
0.25,1.75,0.25,0.142794609069824
0.25,0,0.5,0.15780234336853
0.25,0.25,0.5,0.160094261169434
0.25,0.5,0.5,0.0869641304016113
0.25,0.75,0.5,0.0904667377471924
0.25,1,0.5,0.109371900558472
0.25,1.25,0.5,0.126871585845947
0.25,1.5,0.5,0.121574401855469
0.25,1.75,0.5,0.19069504737854
0.25,0,0.75,0.0949716567993164
0.25,0.25,0.75,0.136420249938965
0.25,0.5,0.75,0.186830282211304
0.25,0.75,0.75,0.138021230697632
0.25,1,0.75,0.106661558151245
0.25,1.25,0.75,0.104570388793945
0.25,1.5,0.75,0.20249080657959
0.25,1.75,0.75,0.122821807861328
0.25,0,1,0.115776300430298
0.25,0.25,1,0.150910139083862
0.25,0.5,1,0.144169092178345
0.25,0.75,1,0.132218360900879
0.25,1,1,0.190228939056396
0.25,1.25,1,0.116875171661377
0.25,1.5,1,0.135396242141724
0.25,1.75,1,0.0827572345733643
0.25,0,1.25,0.23896312713623
0.25,0.25,1.25,0.190394163131714
0.25,0.5,1.25,0.142457723617554
0.25,0.75,1.25,0.158965349197388
0.25,1,1.25,0.151526212692261
0.25,1.25,1.25,0.134727954864502
0.25,1.5,1.25,0.124703645706177
0.25,1.75,1.25,0.0683255195617676
0.25,0,1.5,0.16895866394043
0.25,0.25,1.5,0.142665386199951
0.25,0.5,1.5,0.116458177566528
0.25,0.75,1.5,0.166604280471802
0.25,1,1.5,0.111693382263184
0.25,1.25,1.5,0.120360136032104
0.25,1.5,1.5,0.107596635818481
0.25,1.75,1.5,0.0633957386016846
0.25,0,1.75,0.191811800003052
0.25,0.25,1.75,0.0818676948547363
0.25,0.5,1.75,0.117972850799561
0.25,0.75,1.75,0.117523908615112
0.25,1,1.75,0.0895154476165771
0.25,1.25,1.75,0.127649784088135
0.25,1.5,1.75,0.0636787414550781
0.25,1.75,1.75,0.12419605255127
0.125,0,0,0.0849525928497314
0.125,0.125,0,0.0952448844909668
0.125,0.25,0,0.0866358280181885
0.125,0.375,0,0.133404493331909
0.125,0.5,0,0.0887372493743896
0.125,0.625,0,0.0961401462554932
0.125,0.75,0,0.0949487686157227
0.125,0.875,0,0.0467929840087891
0.125,1,0,0.105093240737915
0.125,1.125,0,0.104146957397461
0.125,1.25,0,0.033686637878418
0.125,1.375,0,0.0297210216522217
0.125,1.5,0,0.0436115264892578
0.125,1.625,0,0.0539183616638184
0.125,1.75,0,0.0754134654998779
0.125,1.875,0,0.0846796035766602
0.125,0,0.125,0.0525267124176025
0.125,0.125,0.125,0.117254972457886
0.125,0.25,0.125,0.10777735710144
0.125,0.375,0.125,0.0791091918945312
0.125,0.5,0.125,0.0570077896118164
0.125,0.625,0.125,0.0865159034729004
0.125,0.75,0.125,0.0849747657775879
0.125,0.875,0.125,0.0539965629577637
0.125,1,0.125,0.163943767547607
0.125,1.125,0.125,0.0602948665618896
0.125,1.25,0.125,0.0624837875366211
0.125,1.375,0.125,0.0445370674133301
0.125,1.5,0.125,0.0351722240447998
0.125,1.625,0.125,0.040041446685791
0.125,1.75,0.125,0.0771348476409912
0.125,1.875,0.125,0.0712785720825195
0.125,0,0.25,0.118221521377563
0.125,0.125,0.25,0.12246036529541
0.125,0.25,0.25,0.0585849285125732
0.125,0.375,0.25,0.0405678749084473
0.125,0.5,0.25,0.0600612163543701
0.125,0.625,0.25,0.0593674182891846
0.125,0.75,0.25,0.0437033176422119
0.125,0.875,0.25,0.0774786472320557
0.125,1,0.25,0.0949783325195312
0.125,1.125,0.25,0.0814006328582764
0.125,1.25,0.25,0.117169857025146
0.125,1.375,0.25,0.106564521789551
0.125,1.5,0.25,0.11916971206665
0.125,1.625,0.25,0.078838586807251
0.125,1.75,0.25,0.0469181537628174
0.125,1.875,0.25,0.0765202045440674
0.125,0,0.375,0.0832350254058838
0.125,0.125,0.375,0.129722118377686
0.125,0.25,0.375,0.0866925716400146
