"L0","x","y","H0"
2,0,0,0.341396570205688
1,0,0,0.27302885055542
1,1,0,0.191518545150757
1,0,1,0.251569747924805
1,1,1,0.242410659790039
0.5,0,0,0.180622577667236
0.5,0.5,0,0.190584182739258
0.5,1,0,0.130313396453857
0.5,1.5,0,0.135435104370117
0.5,0,0.5,0.180863857269287
0.5,0.5,0.5,0.121763706207275
0.5,1,0.5,0.140504121780396
0.5,1.5,0.5,0.143118619918823
0.5,0,1,0.227580785751343
0.5,0.5,1,0.1474769115448
0.5,1,1,0.181647777557373
0.5,1.5,1,0.124200105667114
0.5,0,1.5,0.216817140579224
0.5,0.5,1.5,0.188914775848389
0.5,1,1.5,0.14524507522583
0.5,1.5,1.5,0.237025499343872
0.25,0,0,0.154006242752075
0.25,0.25,0,0.0788555145263672
0.25,0.5,0,0.17912745475769
0.25,0.75,0,0.190584182739258
0.25,1,0,0.103538036346436
0.25,1.25,0,0.112974882125854
0.25,1.5,0,0.108585596084595
0.25,1.75,0,0.101344585418701
0.25,0,0.25,0.0483956336975098
0.25,0.25,0.25,0.0522675514221191
0.25,0.5,0.25,0.0769965648651123
0.25,0.75,0.25,0.0680201053619385
0.25,1,0.25,0.0975620746612549
0.25,1.25,0.25,0.0728805065155029
0.25,1.5,0.25,0.0611975193023682
0.25,1.75,0.25,0.0867290496826172
0.25,0,0.5,0.0585925579071045
0.25,0.25,0.5,0.0630960464477539
0.25,0.5,0.5,0.121763706207275
0.25,0.75,0.5,0.0578436851501465
0.25,1,0.5,0.0467731952667236
0.25,1.25,0.5,0.0965452194213867
0.25,1.5,0.5,0.134271383285522
0.25,1.75,0.5,0.136738300323486
0.25,0,0.75,0.139688014984131
0.25,0.25,0.75,0.139394283294678
0.25,0.5,0.75,0.0781490802764893
0.25,0.75,0.75,0.067141056060791
0.25,1,0.75,0.0829696655273438
0.25,1.25,0.75,0.139811754226685
0.25,1.5,0.75,0.0654399394989014
0.25,1.75,0.75,0.0781857967376709
0.25,0,1,0.128690719604492
0.25,0.25,1,0.143731832504272
0.25,0.5,1,0.10729718208313
0.25,0.75,1,0.0955266952514648
0.25,1,1,0.0959196090698242
0.25,1.25,1,0.0846443176269531
0.25,1.5,1,0.086348295211792
0.25,1.75,1,0.0566921234130859
0.25,0,1.25,0.154109954833984
0.25,0.25,1.25,0.214386224746704
0.25,0.5,1.25,0.124769449234009
0.25,0.75,1.25,0.123786211013794
0.25,1,1.25,0.102406740188599
0.25,1.25,1.25,0.133634567260742
0.25,1.5,1.25,0.0944674015045166
0.25,1.75,1.25,0.10278058052063
0.25,0,1.5,0.193634748458862
0.25,0.25,1.5,0.159380674362183
0.25,0.5,1.5,0.143723964691162
0.25,0.75,1.5,0.0918281078338623
0.25,1,1.5,0.0630054473876953
0.25,1.25,1.5,0.0845973491668701
0.25,1.5,1.5,0.0963983535766602
0.25,1.75,1.5,0.166440010070801
0.25,0,1.75,0.169899463653564
0.25,0.25,1.75,0.155231952667236
0.25,0.5,1.75,0.145808696746826
0.25,0.75,1.75,0.0990359783172607
0.25,1,1.75,0.0635144710540771
0.25,1.25,1.75,0.134088277816772
0.25,1.5,1.75,0.12062406539917
0.25,1.75,1.75,0.192793607711792
0.125,0,0,0.136082887649536
0.125,0.125,0,0.04683518409729
0.125,0.25,0,0.0366508960723877
0.125,0.375,0,0.0536434650421143
0.125,0.5,0,0.119064331054688
0.125,0.625,0,0.17912745475769
0.125,0.75,0,0.190584182739258
0.125,0.875,0,0.112606287002563
0.125,1,0,0.0713121891021729
0.125,1.125,0,0.0441849231719971
0.125,1.25,0,0.0506730079650879
